Date,Location,Gender, Abandoning a child child neglect and cruelty, Abduction of person under  years of age, Aggravated burglary, Aggravated sexual assault, Arson, Assault causing harm poisoning, Attempts/threats to murder assaults harassments and related offences, Blackmail or extortion, Burglary (not aggravated), Burglary and related offences, Carjacking hijacking/unlawful seizure of aircraft/vessel, Controlled drug offences, Criminal damage (not arson), Cultivation or manufacture of drugs, Damage to property and to the environment, Dangerous driving causing serious bodily harm, Dangerous driving leading to death, Dangerous or negligent acts, Defilement of a boy or girl less than  years old, Discharging a firearm, Disorderly conduct, Driving/in charge of a vehicle under the influence of drugs, Driving/in charge of a vehicle while over legal alcohol limit, Endangering traffic offences, Endangerment with potential for serious harm/death, Explosives chemical weapons offences, False alarm/interference with aircraft or air transport facilities, False imprisonment, Fireworks offences, Fraud deception and related offences, Harassment and related offences, Homicide offences, Human trafficking offences, Importation of drugs, Infanticide, Kidnapping and related offences, Liquor licensing offences, Litter offences, Manslaughter, Murder, Murder-attempt, Murder-threat, Offences against government and its agents, Offences against government justice procedures and organisation of crime, Offences while in custody breach of court orders, Offensive weapons offences (n.e.c.), Organisation of crime and conspiracy to commit crime, Other assault, Other drug offences, Other sexual offences, Other thefts handling stolen property, Perverting the course of justice, Possession of a firearm, Possession of an article (with intent to burgle steal demand), Possession of drugs for personal use, Possession of drugs for sale or supply, Prostitution offences, Public order and other social code offences, Rape of a male or female, Regulated betting/money collection/trading offences, Robbery extortion and hijacking offences, Robbery from the person, Robbery of an establishment or institution, Robbery of cash or goods in transit, Sexual assault (not aggravated), Sexual offence involving mentally impaired person, Sexual offences, Social code offences (n.e.c.), Theft and related offences, Theft from person, Theft from shop, Theft/taking of vehicle and related offences, Trespass offences, Unseaworthy/dangerous use of boat or ship, Weapons and Explosives Offences
2003,Not Specified,Not Specified,178,24,327,11,1419,3940,13537,21,25208,25756,91,9297,32518,72,34024,20,41,11961,112,210,37663,77,11480,143,51,52,12,73,0,3636,1065,92,0,36,0,97,4342,87,15,36,5,42,198,6834,6378,1283,11,8485,374,101,37934,247,372,221,6504,2311,196,45140,324,304,2913,1718,1030,53,1002,23,1573,1196,73430,6659,15690,13147,1439,0,1917
2004,Not Specified,Not Specified,192,12,282,14,1501,3890,13275,15,24419,24900,85,9914,35433,39,37040,29,69,12669,113,291,38225,76,12155,123,75,65,19,62,1,3176,976,113,0,36,0,74,6688,106,15,29,1,47,165,6455,6011,1424,16,8361,460,64,37235,263,374,199,7196,2183,219,47780,409,317,2716,1479,1076,61,867,14,1481,764,72187,5708,14883,14361,1567,0,2155
2005,Not Specified,Not Specified,264,16,274,7,1415,3710,13685,18,25900,26371,72,13347,38175,50,39718,22,75,14705,114,311,42429,106,14064,151,80,102,18,58,3,3753,1116,141,0,36,0,74,9684,128,14,52,7,95,147,7786,7409,1706,5,8757,541,58,37766,225,432,197,10067,2653,85,55486,420,370,2423,1137,1152,44,950,12,1561,1076,73029,4610,16464,14189,1842,0,2554
2006,Not Specified,Not Specified,300,12,285,16,1660,4007,15556,11,24298,24817,90,14231,41788,91,43588,24,78,19199,70,297,47248,117,18521,151,70,166,16,70,38,4336,1669,150,0,43,0,82,5648,140,12,60,8,97,237,9474,8969,2203,19,9775,606,59,38835,249,420,234,10492,2999,105,56598,366,417,2489,1254,1103,31,914,15,1440,818,74515,3591,18433,13656,2362,0,3124
2007,Not Specified,Not Specified,554,15,260,17,2095,3912,18137,21,23430,23990,65,18524,40967,162,43275,26,66,20730,71,330,51335,288,19550,222,68,27,21,93,250,6269,2541,152,0,53,1,108,4917,213,7,78,4,164,341,10915,10372,2574,10,11516,734,92,39837,192,415,300,13994,3581,110,60694,355,542,2204,1282,816,20,809,12,1356,749,75130,2909,18775,13609,3041,1,3596
2008,Not Specified,Not Specified,544,13,328,12,2299,3843,19711,22,24517,25269,117,23356,41736,216,44339,18,48,19229,79,223,53578,754,17564,255,51,47,41,58,333,5748,3063,113,4,67,0,75,3851,304,14,51,11,205,341,13188,12662,2973,11,12589,731,68,39076,174,453,424,18077,4265,131,62068,331,430,2329,1293,870,27,771,7,1268,355,76815,3252,20027,14460,3723,2,4029
2009,Not Specified,Not Specified,507,13,370,10,3007,3718,18905,25,26704,27506,104,21872,38663,271,41916,17,35,15035,109,233,49546,873,13299,250,65,48,21,84,428,5217,2805,97,45,46,0,142,3266,246,9,53,7,228,531,11747,11065,2979,5,12147,824,99,40414,146,403,432,16764,3967,94,57484,363,458,2523,1336,1034,24,956,8,1545,284,76916,2636,20554,13312,3836,3,4091
2010,Not Specified,Not Specified,434,22,332,7,2573,3680,18219,24,25261,26102,122,19793,36005,532,38815,19,49,11698,157,179,47299,577,10313,282,56,42,7,81,460,5494,2590,112,29,29,0,132,2765,237,8,55,7,367,335,11189,10737,3027,18,11575,748,170,41431,99,407,509,14387,4097,184,54855,468,423,3236,1981,1088,21,1486,15,2303,377,76649,2824,20776,11618,3807,10,4115
2011,Not Specified,Not Specified,197,13,334,9,2304,3541,17152,24,27232,28196,100,17572,32610,579,35146,13,29,9691,144,163,42077,422,8745,205,101,80,5,77,343,5493,2080,81,25,40,0,115,2313,232,10,42,8,392,448,10013,9453,2614,22,11131,530,151,42627,90,284,630,12606,3817,218,48952,446,297,2954,1713,1075,42,1194,14,1958,495,76664,3641,19915,10481,3552,3,3484
2012,Not Specified,Not Specified,229,16,282,7,2118,3213,15702,38,27415,28445,97,16380,29732,513,32138,7,30,8844,129,143,37323,276,8046,206,68,90,8,65,267,5704,1919,90,16,30,0,97,1902,288,8,52,9,269,274,9431,9051,2296,6,10292,582,141,43064,100,246,748,11796,3459,142,43790,457,296,2811,1613,1014,49,1218,24,1976,806,76108,5012,19552,8480,3321,4,3042
