"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH"
2013,"Ballyfermot",178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Finglas",84,87,43,9,102,119,206,0,62,0,33,8,1,88,55,51,27
2013,"Galway.City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Kerry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Limerick",148,240,119,11,137,310,345,0,154,0,32,13,9,146,89,123,89
2013,"Lucan",387,553,262,22,507,752,979,0,407,0,120,25,4,495,223,307,150
2013,"Midlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"North.Dublin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"North.West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Pieta.House",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Roscrea",0,0,0,0,0,48,53,0,12,0,3,3,0,27,11,25,20
2013,"South.East",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Tallaght",65,81,39,4,81,111,159,0,56,0,19,4,4,57,27,65,38
2013,"Tralee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"West",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,"Wexford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Ballyfermot",192,239,102,10,193,402,334,0,141,0,35,7,5,212,87,144,105
2014,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Cork",122,156,85,4,168,326,209,0,115,0,30,7,3,126,75,96,83
2014,"Finglas",103,166,69,2,188,336,192,0,166,0,57,2,1,145,64,70,23
2014,"Galway.City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Kerry",25,21,17,4,34,68,33,0,15,0,5,2,1,32,17,20,9
2014,"Limerick",109,168,125,6,99,290,217,0,150,0,24,12,3,133,64,74,47
2014,"Lucan",388,540,209,19,573,1028,699,2,457,0,105,9,9,470,237,280,162
