Date,Location,18-24,25-44,45-64,65+,U18,Female,Male,Transgender,DNot SpecifiedA,DSH,DSH ,SA Only,SA/DSH,SI Only,SI/DSH,SI/SA,SI/SA/DSH,Crime,Recorded Crimes,Month,Unemploy.Gender,Unemploy.u25,Unemploy.25+,Unemploy.allages,Gender,Age,Category,Rate
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Homicide offences,95,0,0,0,0,0,Not Specified ,Not Specified ,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Murder,51,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Manslaughter,7,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Infanticide,0,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Dangerous driving leading to death,37,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Sexual offences,1908,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Rape of a male or female,392,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Defilement of a boy or girl less than  years old,87,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Sexual offence involving mentally impaired person,12,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Aggravated sexual assault,9,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Sexual assault (not aggravated),1281,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Other sexual offences,127,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Attempts/threats to murder assaults harassments and related offences,14365,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Murder-attempt,13,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Murder-threat,334,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Harassment and related offences,1504,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Assault causing harm poisoning,3071,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Other assault,9443,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Dangerous or negligent acts,7495,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Dangerous driving causing serious bodily harm,12,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Driving/in charge of a vehicle while over legal alcohol limit,6752,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Driving/in charge of a vehicle under the influence of drugs,265,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Endangerment with potential for serious harm/death,69,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Abandoning a child child neglect and cruelty,226,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Unseaworthy/dangerous use of boat or ship,2,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, False alarm/interference with aircraft or air transport facilities,4,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, Endangering traffic offences,165,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
2013,Ballyfermot,178,257,113,8,160,334,382,0,109,0,43,14,5,236,71,159,79, KidNot Specifiedpping and related offences,121,0,0,0,0,0,Not Specified ,Not Specified,Not Specified,0
