"Date","Location","Gender","Count"
1950,"Not Specified","Not Specified",76
1951,"Not Specified","Not Specified",77
1952,"Not Specified","Not Specified",66
1953,"Not Specified","Not Specified",62
1954,"Not Specified","Not Specified",59
1955,"Not Specified","Not Specified",68
1956,"Not Specified","Not Specified",76
1957,"Not Specified","Not Specified",73
1958,"Not Specified","Not Specified",77
1959,"Not Specified","Not Specified",72
1960,"Not Specified","Not Specified",84
1961,"Not Specified","Not Specified",89
1962,"Not Specified","Not Specified",52
1963,"Not Specified","Not Specified",70
1964,"Not Specified","Not Specified",58
1965,"Not Specified","Not Specified",51
1966,"Not Specified","Not Specified",69
1967,"Not Specified","Not Specified",72
1968,"Not Specified","Not Specified",71
1969,"Not Specified","Not Specified",52
1970,"Not Specified","Not Specified",52
1971,"Not Specified","Not Specified",81
1972,"Not Specified","Not Specified",90
1973,"Not Specified","Not Specified",105
1974,"Not Specified","Not Specified",118
1975,"Not Specified","Not Specified",148
1976,"Not Specified","Not Specified",183
1977,"Not Specified","Not Specified",151
1978,"Not Specified","Not Specified",163
1979,"Not Specified","Not Specified",193
1980,"Not Specified","Not Specified",216
1981,"Not Specified","Not Specified",223
1982,"Not Specified","Not Specified",241
1983,"Not Specified","Not Specified",282
1984,"Not Specified","Not Specified",232
1985,"Not Specified","Not Specified",276
1986,"Not Specified","Not Specified",283
1987,"Not Specified","Not Specified",245
1988,"Not Specified","Not Specified",266
1989,"Not Specified","Not Specified",278
1990,"Not Specified","Not Specified",334
1991,"Not Specified","Not Specified",346
1992,"Not Specified","Not Specified",363
1993,"Not Specified","Not Specified",327
1994,"Not Specified","Not Specified",395
1995,"Not Specified","Not Specified",404
1996,"Not Specified","Not Specified",409
1997,"Not Specified","Not Specified",478
1998,"Not Specified","Not Specified",514
1999,"Not Specified","Not Specified",455
2000,"Not Specified","Not Specified",486
2001,"Not Specified","Not Specified",519
2002,"Not Specified","Not Specified",478
2003,"Not Specified","Not Specified",497
2004,"Not Specified","Not Specified",493
2005,"Not Specified","Not Specified",481
2006,"Not Specified","Not Specified",460
2007,"Not Specified","Not Specified",458
2008,"Not Specified","Not Specified",506
2009,"Not Specified","Not Specified",552
2010,"Not Specified","Not Specified",495
2011,"Not Specified","Not Specified",554
2012,"Not Specified","Not Specified",541
2013,"Not Specified","Not Specified",487
2014,"Not Specified","Not Specified",486
2015,"Not Specified","Not Specified",425
2016,"Not Specified","Not Specified",437
2017,"Not Specified","Not Specified",392
