"Location","Date","Month","Unemploy.Gender","Unemploy.u25","Unemploy.25+","Unemploy.allages"
"Not Specified",1998,1,"Both",56.5,154.4,97.9
"Not Specified",1998,2,"Both",55.5,156.1,100.6
"Not Specified",1998,3,"Both",53.1,152.1,99
"Not Specified",1998,4,"Both",49,142.3,93.3
"Not Specified",1998,5,"Both",46.2,135.6,89.5
"Not Specified",1998,6,"Both",44.7,131.1,86.5
"Not Specified",1998,7,"Both",43.3,129.6,86.3
"Not Specified",1998,8,"Both",42.6,127.4,84.7
"Not Specified",1998,9,"Both",42.3,124.9,82.6
"Not Specified",1998,10,"Both",41.8,120.2,78.4
"Not Specified",1998,11,"Both",41.1,115.6,74.4
"Not Specified",1998,12,"Both",41.6,115.6,74
"Not Specified",1999,1,"Both",40.8,115.1,74.3
"Not Specified",1999,2,"Both",40.1,112.8,72.7
"Not Specified",1999,3,"Both",39.9,112.3,72.4
"Not Specified",1999,4,"Both",39.4,111.1,71.7
"Not Specified",1999,5,"Both",38.9,110.7,71.8
"Not Specified",1999,6,"Both",37.6,106.3,68.8
"Not Specified",1999,7,"Both",36.2,102.2,66
"Not Specified",1999,8,"Both",35.3,99,63.7
"Not Specified",1999,9,"Both",35.3,99.7,64.3
"Not Specified",1999,10,"Both",34.6,100.6,66
"Not Specified",1999,11,"Both",34,98.5,64.6
"Not Specified",1999,12,"Both",33.1,96.2,63
"Not Specified",2000,1,"Both",32.4,92.2,59.8
"Not Specified",2000,2,"Both",31.6,89.3,57.7
"Not Specified",2000,3,"Both",31.1,87.4,56.3
"Not Specified",2000,4,"Both",31.4,89.3,57.9
"Not Specified",2000,5,"Both",30.6,87.6,57
"Not Specified",2000,6,"Both",30.3,85.9,55.7
"Not Specified",2000,7,"Both",30,83.4,53.4
"Not Specified",2000,8,"Both",29.5,81.5,52
"Not Specified",2000,9,"Both",28.3,78.1,49.8
"Not Specified",2000,10,"Both",27.3,75.2,47.9
"Not Specified",2000,11,"Both",26.7,73.6,47
"Not Specified",2000,12,"Both",26.6,73.8,47.2
"Not Specified",2001,1,"Both",26.8,74.3,47.6
"Not Specified",2001,2,"Both",27,74.1,47.1
"Not Specified",2001,3,"Both",27.3,73.7,46.3
"Not Specified",2001,4,"Both",28.1,73.8,45.7
"Not Specified",2001,5,"Both",28.8,74.9,46.1
"Not Specified",2001,6,"Both",30,77.6,47.6
"Not Specified",2001,7,"Both",31.7,81.9,50.3
"Not Specified",2001,8,"Both",32.5,84.6,52.1
"Not Specified",2001,9,"Both",32.8,85,52.2
"Not Specified",2001,10,"Both",33,84.4,51.3
"Not Specified",2001,11,"Both",33.8,85.3,51.4
"Not Specified",2001,12,"Both",33.1,83.8,50.7
"Not Specified",2002,1,"Both",33.3,85.3,52
"Not Specified",2002,2,"Both",34.3,87.4,53.1
"Not Specified",2002,3,"Both",34.9,89.6,54.6
"Not Specified",2002,4,"Both",35.2,89.3,54.2
"Not Specified",2002,5,"Both",35,90,55
"Not Specified",2002,6,"Both",33.7,88.6,54.9
"Not Specified",2002,7,"Both",32.3,85.3,53
"Not Specified",2002,8,"Both",31.7,85.7,54
"Not Specified",2002,9,"Both",34,91.3,57.3
"Not Specified",2002,10,"Both",37.6,99.8,62.2
"Not Specified",2002,11,"Both",40,104.6,64.6
"Not Specified",2002,12,"Both",40.2,104.7,64.5
"Not Specified",2003,1,"Both",37.9,98.6,60.7
"Not Specified",2003,2,"Both",36.4,94.5,58.1
"Not Specified",2003,3,"Both",35.3,91.9,56.6
"Not Specified",2003,4,"Both",35.2,93.1,57.8
"Not Specified",2003,5,"Both",35.4,93.1,57.6
"Not Specified",2003,6,"Both",36.2,95.9,59.7
"Not Specified",2003,7,"Both",37.1,99.1,61.9
"Not Specified",2003,8,"Both",36.9,99.8,62.9
"Not Specified",2003,9,"Both",37.1,98.8,61.7
"Not Specified",2003,10,"Both",35.5,94.6,59.1
"Not Specified",2003,11,"Both",35.5,93.7,58.2
"Not Specified",2003,12,"Both",36.2,96.6,60.4
"Not Specified",2004,1,"Both",37.7,102.8,65.1
"Not Specified",2004,2,"Both",38.4,104.6,66.3
"Not Specified",2004,3,"Both",37.5,103.2,65.7
"Not Specified",2004,4,"Both",34.8,96.9,62.2
"Not Specified",2004,5,"Both",34.3,94.1,59.8
"Not Specified",2004,6,"Both",35.1,91.5,56.4
"Not Specified",2004,7,"Both",35.6,90.4,54.8
"Not Specified",2004,8,"Both",36.2,90.8,54.6
"Not Specified",2004,9,"Both",37.7,94.3,56.7
"Not Specified",2004,10,"Both",37,97.3,60.4
"Not Specified",2004,11,"Both",36.5,97.3,60.8
