"Crime Date","Crime","Recorded Crimes"
"2003"," Homicide offences",92
"2003"," Murder",36
"2003"," Manslaughter",15
"2003"," Infanticide",0
"2003"," Dangerous driving leading to death",41
"2003"," Sexual offences",1573
"2003"," Rape of a male or female",324
"2003"," Defilement of a boy or girl less than  years old",112
"2003"," Sexual offence involving mentally impaired person",23
"2003"," Aggravated sexual assault",11
"2003"," Sexual assault (not aggravated)",1002
"2003"," Other sexual offences",101
"2003"," Attempts/threats to murder assaults harassments and related offences",13537
"2003"," Murder-attempt",5
"2003"," Murder-threat",42
"2003"," Harassment and related offences",1065
"2003"," Assault causing harm poisoning",3940
"2003"," Other assault",8485
"2003"," Dangerous or negligent acts",11961
"2003"," Dangerous driving causing serious bodily harm",20
"2003"," Driving/in charge of a vehicle while over legal alcohol limit",11480
"2003"," Driving/in charge of a vehicle under the influence of drugs",77
"2003"," Endangerment with potential for serious harm/death",51
"2003"," Abandoning a child child neglect and cruelty",178
"2003"," Unseaworthy/dangerous use of boat or ship",0
"2003"," False alarm/interference with aircraft or air transport facilities",12
"2003"," Endangering traffic offences",143
"2003"," Kidnapping and related offences",97
"2003"," False imprisonment",73
"2003"," Abduction of person under  years of age",24
"2003"," Human trafficking offences",0
"2003"," Robbery extortion and hijacking offences",2913
"2003"," Robbery of an establishment or institution",1030
"2003"," Robbery of cash or goods in transit",53
"2003"," Robbery from the person",1718
"2003"," Blackmail or extortion",21
"2003"," Carjacking hijacking/unlawful seizure of aircraft/vessel",91
"2003"," Burglary and related offences",25756
"2003"," Aggravated burglary",327
"2003"," Burglary (not aggravated)",25208
"2003"," Possession of an article (with intent to burgle steal demand)",221
"2003"," Theft and related offences",73430
"2003"," Theft/taking of vehicle and related offences",13147
"2003"," Theft from person",6659
"2003"," Theft from shop",15690
"2003"," Other thefts handling stolen property",37934
"2003"," Fraud deception and related offences",3636
"2003"," Controlled drug offences",9297
"2003"," Importation of drugs",36
"2003"," Cultivation or manufacture of drugs",72
