"Location","Category","Date","Price"
"National","New House Prices (Euro)","1975",13254
"National","Second Hand House Prices (Euro)","1975",12478
"Dublin","New House Prices (Euro)","1975",13137
"Dublin","Second Hand House Prices (Euro)","1975",12774
"Cork","New House Prices (Euro)","1975",12921
"Cork","Second Hand House Prices (Euro)","1975",0
"Galway","New House Prices (Euro)","1975",14420
"Galway","Second Hand House Prices (Euro)","1975",0
"Limerick","New House Prices (Euro)","1975",13594
"Limerick","Second Hand House Prices (Euro)","1975",0
"Waterford","New House Prices (Euro)","1975",12636
"Waterford","Second Hand House Prices (Euro)","1975",0
"Otherareas","New House Prices (Euro)","1975",13833
"Otherareas","Second Hand House Prices (Euro)","1975",0
"National","New House Prices (Euro)","1976",15564
"National","Second Hand House Prices (Euro)","1976",15303
"Dublin","New House Prices (Euro)","1976",15342
"Dublin","Second Hand House Prices (Euro)","1976",15850
"Cork","New House Prices (Euro)","1976",15347
"Cork","Second Hand House Prices (Euro)","1976",15139
"Galway","New House Prices (Euro)","1976",17842
"Galway","Second Hand House Prices (Euro)","1976",16858
"Limerick","New House Prices (Euro)","1976",15279
"Limerick","Second Hand House Prices (Euro)","1976",14018
"Waterford","New House Prices (Euro)","1976",13900
"Waterford","Second Hand House Prices (Euro)","1976",14545
"Otherareas","New House Prices (Euro)","1976",15361
"Otherareas","Second Hand House Prices (Euro)","1976",14161
"National","New House Prices (Euro)","1977",18754
"National","Second Hand House Prices (Euro)","1977",17925
"Dublin","New House Prices (Euro)","1977",19055
"Dublin","Second Hand House Prices (Euro)","1977",18778
"Cork","New House Prices (Euro)","1977",18652
"Cork","Second Hand House Prices (Euro)","1977",17898
"Galway","New House Prices (Euro)","1977",21715
"Galway","Second Hand House Prices (Euro)","1977",20792
"Limerick","New House Prices (Euro)","1977",19992
"Limerick","Second Hand House Prices (Euro)","1977",16681
"Waterford","New House Prices (Euro)","1977",17296
"Waterford","Second Hand House Prices (Euro)","1977",16505
"Otherareas","New House Prices (Euro)","1977",18025
"Otherareas","Second Hand House Prices (Euro)","1977",15980
"National","New House Prices (Euro)","1978",24082
"National","Second Hand House Prices (Euro)","1978",21895
"Dublin","New House Prices (Euro)","1978",25745
"Dublin","Second Hand House Prices (Euro)","1978",22920
"Cork","New House Prices (Euro)","1978",22460
"Cork","Second Hand House Prices (Euro)","1978",21427
"Galway","New House Prices (Euro)","1978",26244
"Galway","Second Hand House Prices (Euro)","1978",27862
"Limerick","New House Prices (Euro)","1978",23077
"Limerick","Second Hand House Prices (Euro)","1978",20136
"Waterford","New House Prices (Euro)","1978",21295
"Waterford","Second Hand House Prices (Euro)","1978",20381
"Otherareas","New House Prices (Euro)","1978",22839
"Otherareas","Second Hand House Prices (Euro)","1978",19736
"National","New House Prices (Euro)","1979",29387
