"Job Title","Date","Weekly Income"
"Public Sector (excluding Health)","1988",346.2
"Civil Service","1988",313.5
"Administrative Civil Servants","1988",313.61
"Industrial Civil Servants","1988",245.51
"Others in the Public Sector","1988",503
"Prison Officers","1988",450.58
"Defence","1988",258.64
"An Garda Siochana","1988",436.74
"An Garda Siochana (excl. overtime)","1988",408.04
"Education","1988",386.33
"Primary education","1988",391.04
"Secondary education (excl. VECs & ITs)","1988",432.24
"Third level education (excl. VECs & ITs)","1988",372.06
"VECs and Institutes of Technology","1988",330.18
"Regional Bodies","1988",279.22
"Local Authorities","1988",276.44
"Non-Local Authority Regional Bodies","1988",339.74
"Semi-State Companies","1988",361.72
"Commercial Semi-State Companies","1988",356.46
"Non-Commercial Semi-State Companies","1988",406.66
"Public Sector (excluding Health)","1989",363.82
"Civil Service","1989",332.06
"Administrative Civil Servants","1989",326.71
"Industrial Civil Servants","1989",260.57
"Others in the Public Sector","1989",334.46
"Prison Officers","1989",481.18
"Defence","1989",282.57
"An Garda Siochana","1989",470.4
"An Garda Siochana (excl. overtime)","1989",446.68
"Education","1989",407.44
"Primary education","1989",418.27
"Secondary education (excl. VECs & ITs)","1989",439.1
"Third level education (excl. VECs & ITs)","1989",408.44
"VECs and Institutes of Technology","1989",349.8
"Regional Bodies","1989",287.32
"Local Authorities","1989",284.39
"Non-Local Authority Regional Bodies","1989",352.66
"Semi-State Companies","1989",375.84
"Commercial Semi-State Companies","1989",372.18
"Non-Commercial Semi-State Companies","1989",409.36
"Public Sector (excluding Health)","1990",387.6
"Civil Service","1990",366.16
"Administrative Civil Servants","1990",360.34
"Industrial Civil Servants","1990",265.8
"Others in the Public Sector","1990",233.86
"Prison Officers","1990",544.85
"Defence","1990",311.94
"An Garda Siochana","1990",492.06
"An Garda Siochana (excl. overtime)","1990",456.01
"Education","1990",418.24
"Primary education","1990",432.33
"Secondary education (excl. VECs & ITs)","1990",452.61
"Third level education (excl. VECs & ITs)","1990",424.52
"VECs and Institutes of Technology","1990",353.74
"Regional Bodies","1990",309.32
"Local Authorities","1990",306.84
"Non-Local Authority Regional Bodies","1990",366
"Semi-State Companies","1990",405.44
"Commercial Semi-State Companies","1990",402.2
"Non-Commercial Semi-State Companies","1990",434.78
"Public Sector (excluding Health)","1991",412.85
"Civil Service","1991",387.83
"Administrative Civil Servants","1991",380
"Industrial Civil Servants","1991",314.98
"Others in the Public Sector","1991",257.11
"Prison Officers","1991",559.8
"Defence","1991",353.69
"An Garda Siochana","1991",527.9
"An Garda Siochana (excl. overtime)","1991",496.32
"Education","1991",448.09
"Primary education","1991",465.64
"Secondary education (excl. VECs & ITs)","1991",484.04
"Third level education (excl. VECs & ITs)","1991",454.03
"VECs and Institutes of Technology","1991",378
"Regional Bodies","1991",322.66
"Local Authorities","1991",319.84
"Non-Local Authority Regional Bodies","1991",387.63
"Semi-State Companies","1991",429.04
"Commercial Semi-State Companies","1991",424.99
"Non-Commercial Semi-State Companies","1991",462.68
"Public Sector (excluding Health)","1992",432.74
"Civil Service","1992",405.38
"Administrative Civil Servants","1992",395.76
"Industrial Civil Servants","1992",341.13
"Others in the Public Sector","1992",282.32
"Prison Officers","1992",593.46
"Defence","1992",367.46
"An Garda Siochana","1992",550.26
"An Garda Siochana (excl. overtime)","1992",519.48
"Education","1992",471.91
"Primary education","1992",496.85
"Secondary education (excl. VECs & ITs)","1992",501.41
"Third level education (excl. VECs & ITs)","1992",479.24
"VECs and Institutes of Technology","1992",399.31
"Regional Bodies","1992",331.65
"Local Authorities","1992",329.24
"Non-Local Authority Regional Bodies","1992",388.01
"Semi-State Companies","1992",419.39
"Commercial Semi-State Companies","1992",447.64
"Non-Commercial Semi-State Companies","1992",477.92
"Public Sector (excluding Health)","1993",459.05
