 ,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"01 ,Homicide offences",92,113,141,150,152,113,97,112,81,90,95,105,83,91,80
"0111 ,Murder",36,29,52,60,78,51,53,55,42,52,51,52,30,37,42
"0112 ,Manslaughter",15,15,14,12,7,14,9,8,10,8,7,7,6,5,4
"0113 ,Infanticide",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"012 ,Dangerous driving leading to death",41,69,75,78,66,48,35,49,29,30,37,46,47,49,34
"02 ,Sexual offences",1573,1481,1561,1440,1356,1268,1545,2303,1958,1976,1908,1969,2283,2524,2887
"0211 ,Rape of a male or female",324,409,420,366,355,331,363,468,446,457,392,480,518,516,644
"0212 ,Defilement of a boy or girl less than 17 years old",112,113,114,70,71,79,109,157,144,129,87,126,127,159,157
"0213 ,Sexual offence involving mentally impaired person",23,14,12,15,12,7,8,15,14,24,12,12,23,18,29
"0214 ,Aggravated sexual assault",11,14,7,16,17,12,10,7,9,7,9,5,9,9,6
"0215 ,Sexual assault (not aggravated)",1002,867,950,914,809,771,956,1486,1194,1218,1281,1241,1395,1528,1705
"022 ,Other sexual offences",101,64,58,59,92,68,99,170,151,141,127,105,211,294,346
"03 ,Attempts/threats to murder, assaults, harassments and related offences",13537,13275,13685,15556,18137,19711,18905,18219,17152,15702,14365,15155,16877,16642,18896
"0311 ,Murder-attempt",5,1,7,8,4,11,7,7,8,9,13,15,13,24,14
"0312 ,Murder-threat",42,47,95,97,164,205,228,367,392,269,334,415,586,593,755
"033 ,Harassment and related offences",1065,976,1116,1669,2541,3063,2805,2590,2080,1919,1504,1495,1501,1377,1595
"034 ,Assault causing harm, poisoning",3940,3890,3710,4007,3912,3843,3718,3680,3541,3213,3071,3162,3510,3595,4053
"035 ,Other assault",8485,8361,8757,9775,11516,12589,12147,11575,11131,10292,9443,10068,11267,11053,12479
"04 ,Dangerous or negligent acts",11961,12669,14705,19199,20730,19229,15035,11698,9691,8844,7495,7232,7117,7689,8372
"0411 ,Dangerous driving causing serious bodily harm",20,29,22,24,26,18,17,19,13,7,12,13,12,9,14
"0412 ,Driving/in charge of a vehicle while over legal alcohol limit",11480,12155,14064,18521,19550,17564,13299,10313,8745,8046,6752,6481,6417,6934,7380
"0413 ,Driving/in charge of a vehicle under the influence of drugs",77,76,106,117,288,754,873,577,422,276,265,265,220,219,279
"0421 ,Endangerment with potential for serious harm/death",51,75,80,70,68,51,65,56,101,68,69,73,97,103,111
"0422 ,Abandoning a child, child neglect and cruelty",178,192,264,300,554,544,507,434,197,229,226,248,167,263,383
"0423 ,Unseaworthy/dangerous use of boat or ship",0,0,0,0,1,2,3,10,3,4,2,1,7,1,4
"0424 ,False alarm/interference with aircraft or air transport facilities",12,19,18,16,21,41,21,7,5,8,4,5,2,3,6
"0425 ,Endangering traffic offences",143,123,151,151,222,255,250,282,205,206,165,146,195,157,195
"05 ,Kidnapping and related offences",97,74,74,82,108,75,142,132,115,97,121,124,153,123,128
"0511 ,False imprisonment",73,62,58,70,93,58,84,81,77,65,80,60,95,73,76
"0512 ,Abduction of person under 16 years of age",24,12,16,12,15,13,13,22,13,16,25,33,29,27,21
"0513 ,Human trafficking offences",0,0,0,0,0,4,45,29,25,16,16,31,29,23,31
"06 ,Robbery, extortion and hijacking offences",2913,2716,2423,2489,2204,2329,2523,3236,2954,2811,2796,2650,2574,2101,2185
"0611 ,Robbery of an establishment or institution",1030,1076,1152,1103,816,870,1034,1088,1075,1014,988,848,928,702,716
"0612 ,Robbery of cash or goods in transit",53,61,44,31,20,27,24,21,42,49,39,26,18,28,14
"0613 ,Robbery from the person",1718,1479,1137,1254,1282,1293,1336,1981,1713,1613,1678,1656,1478,1226,1294
"0621 ,Blackmail or extortion",21,15,18,11,21,22,25,24,24,38,25,22,54,68,74
