x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
 ,Both sexes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Carlow,4,1,4,6,1,2,2,3,5,5,5,5,14,0,7,8,12,10,5,2,2,8,3,6,6,9,10,11,6,6,7,7,5,11
 , ,Dublin City and County,73,63,64,72,63,55,53,59,61,56,75,82,71,66,104,89,96,105,118,120,115,120,103,107,118,104,101,96,108,119,106,114,109,94
 , ,Kildare,9,6,3,8,3,8,7,8,9,12,11,13,15,18,12,15,15,19,12,8,20,12,21,13,16,21,19,23,24,20,18,27,24,23
 , ,Kilkenny,2,3,5,9,7,7,7,5,4,8,4,12,11,7,11,10,7,6,13,14,17,15,11,13,7,8,11,11,9,10,8,14,12,13
 , ,Laois,1,1,1,4,2,4,5,0,4,2,2,5,5,3,1,10,3,5,9,5,6,7,6,3,6,2,9,10,5,8,18,13,10,10
 , ,Longford,1,2,1,6,5,4,5,1,1,4,2,5,3,6,1,2,5,2,3,6,3,6,4,2,7,3,5,5,1,4,4,2,3,5
 , ,Louth,2,2,6,7,3,3,8,7,6,4,5,12,11,5,8,9,9,12,16,11,13,7,14,14,13,4,13,12,13,16,17,14,21,17
 , ,Meath,6,6,5,5,6,7,8,4,4,4,10,9,11,6,8,14,11,13,11,16,11,19,19,16,22,14,12,9,26,21,10,14,18,11
 , ,Offaly,2,4,5,1,4,7,2,3,3,4,3,8,8,6,8,11,3,6,10,9,18,12,11,11,9,8,9,8,13,12,15,10,12,8
 , ,Westmeath,1,0,3,7,5,7,4,1,6,3,9,6,3,6,7,9,8,4,13,13,9,9,6,9,8,16,5,11,14,11,13,12,9,11
 , ,Wexford,2,5,6,6,6,3,7,5,3,6,11,13,7,10,16,16,12,21,18,16,23,19,17,22,11,24,16,21,18,19,16,29,33,23
 , ,Wicklow,3,8,4,9,1,2,2,2,8,5,9,5,9,7,7,9,10,14,18,17,9,9,15,15,14,17,18,9,13,15,15,17,10,5
 , ,Clare,2,6,6,5,7,11,11,8,12,8,14,12,8,20,7,14,18,10,15,12,8,13,16,15,17,12,12,17,15,18,8,13,15,14
 , ,Cork,40,32,34,42,40,48,49,33,37,43,46,40,39,40,57,50,66,82,74,53,67,100,62,80,60,67,73,63,82,80,66,78,64,56
 , ,Kerry,7,10,10,10,8,12,18,11,19,15,14,12,19,13,22,16,15,17,26,19,20,20,13,19,17,16,14,12,15,29,24,26,32,28
 , ,Limerick,10,10,17,17,14,18,19,14,18,25,18,16,16,19,20,11,18,18,28,26,32,16,30,28,28,24,16,23,16,24,27,31,34,20
 , ,North Tipperary,6,4,0,3,2,5,8,5,5,5,2,6,9,4,6,5,7,7,6,10,9,10,11,15,14,9,14,6,10,15,6,10,5,6
 , ,South Tipperary,1,6,6,5,4,4,10,8,6,10,10,6,7,4,9,11,9,9,14,12,11,13,11,10,10,8,8,12,11,14,13,12,13,12
 , ,Waterford,0,5,5,4,4,13,9,13,6,13,13,6,14,18,13,9,8,18,11,11,12,17,12,14,23,12,11,12,15,18,13,14,11,9
 , ,Galway,12,15,22,16,10,15,14,18,11,11,27,18,21,13,20,30,23,33,28,23,20,23,26,26,19,29,22,18,29,28,27,37,28,28
 , ,Leitrim,4,1,5,8,5,4,2,5,1,2,2,9,5,2,4,2,2,6,5,4,4,6,7,0,10,7,2,2,4,4,6,6,3,0
 , ,Mayo,9,17,7,7,8,13,6,9,8,9,10,7,20,9,14,12,12,16,16,13,17,17,18,12,12,13,16,23,10,17,18,17,25,16
 , ,Roscommon,1,3,6,4,5,8,3,7,7,3,7,4,3,5,5,8,2,7,7,6,6,5,4,3,2,9,11,11,6,5,10,5,7,12
 , ,Sligo,4,1,7,5,2,3,6,2,4,3,3,10,3,10,5,7,5,3,12,6,3,10,4,7,11,8,5,3,5,6,9,7,7,4
 , ,Cavan,4,6,1,6,4,4,4,2,5,7,4,7,9,5,7,9,9,11,4,4,7,9,10,5,12,13,10,12,11,7,7,8,7,15
