"Location","Date","Both","Female","Male"
"All Regions",1980,216,73,143
"All Regions",1981,223,65,158
"All Regions",1982,241,63,178
"All Regions",1983,282,80,202
"All Regions",1984,232,68,164
"All Regions",1985,276,60,216
"All Regions",1986,283,66,217
"All Regions",1987,245,60,185
"All Regions",1988,266,71,195
"All Regions",1989,278,65,213
"All Regions",1990,334,83,251
"All Regions",1991,346,63,283
"All Regions",1992,363,59,304
"All Regions",1993,327,67,260
"All Regions",1994,395,90,305
"All Regions",1995,404,83,321
"All Regions",1996,409,64,345
"All Regions",1997,478,92,386
"All Regions",1998,514,81,433
"All Regions",1999,455,97,358
"All Regions",2000,486,91,395
"All Regions",2001,519,90,429
"All Regions",2002,478,91,387
"All Regions",2003,497,111,386
"All Regions",2004,493,87,406
"All Regions",2005,481,99,382
"All Regions",2006,460,81,379
"All Regions",2007,458,96,362
"All Regions",2008,506,120,386
"All Regions",2009,552,109,443
"All Regions",2010,495,90,405
"All Regions",2011,554,96,458
"All Regions",2012,541,96,445
"All Regions",2013,475,79,396
"Carlow",1980,4,3,1
"Carlow",1981,1,0,1
"Carlow",1982,4,2,2
"Carlow",1983,6,1,5
"Carlow",1984,1,0,1
"Carlow",1985,2,0,2
"Carlow",1986,2,1,1
"Carlow",1987,3,1,2
"Carlow",1988,5,1,4
"Carlow",1989,5,1,4
"Carlow",1990,5,3,2
"Carlow",1991,5,0,5
"Carlow",1992,14,0,14
"Carlow",1993,0,0,0
"Carlow",1994,7,4,3
"Carlow",1995,8,1,7
"Carlow",1996,12,0,12
"Carlow",1997,10,0,10
"Carlow",1998,5,0,5
"Carlow",1999,2,1,1
"Carlow",2000,2,1,1
"Carlow",2001,8,0,8
"Carlow",2002,3,0,3
"Carlow",2003,6,2,4
"Carlow",2004,6,0,6
"Carlow",2005,9,3,6
"Carlow",2006,10,1,9
"Carlow",2007,11,1,10
"Carlow",2008,6,3,3
"Carlow",2009,6,1,5
"Carlow",2010,7,0,7
"Carlow",2011,7,0,7
"Carlow",2012,5,0,5
