Gender,Age,Category,Date,Month,Rate
Both,Under25years,All classes,1967,,0
Both,Under25years,Jobseekers allowance applications,1967,,0
Both,Under25years,Jobseekers benefit claims,1967,,0
Both,Under25years,Other registrants,1967,,0
Both,25yearsandover,All classes,1967,,0
Both,25yearsandover,Jobseekers allowance applications,1967,,0
Both,25yearsandover,Jobseekers benefit claims,1967,,0
Both,25yearsandover,Other registrants,1967,,0
Both,Allages,All classes,1967,,58670
Both,Allages,Jobseekers allowance applications,1967,,18117
Both,Allages,Jobseekers benefit claims,1967,,37210
Both,Allages,Other registrants,1967,,3343
Male,Under25years,All classes,1967,,0
Male,Under25years,Jobseekers allowance applications,1967,,0
Male,Under25years,Jobseekers benefit claims,1967,,0
Male,Under25years,Other registrants,1967,,0
Male,25yearsandover,All classes,1967,,0
Male,25yearsandover,Jobseekers allowance applications,1967,,0
Male,25yearsandover,Jobseekers benefit claims,1967,,0
Male,25yearsandover,Other registrants,1967,,0
Male,Allages,All classes,1967,,48647
Male,Allages,Jobseekers allowance applications,1967,,17656
Male,Allages,Jobseekers benefit claims,1967,,29972
Male,Allages,Other registrants,1967,,1019
Female,Under25years,All classes,1967,,0
Female,Under25years,Jobseekers allowance applications,1967,,0
Female,Under25years,Jobseekers benefit claims,1967,,0
Female,Under25years,Other registrants,1967,,0
Female,25yearsandover,All classes,1967,,0
Female,25yearsandover,Jobseekers allowance applications,1967,,0
Female,25yearsandover,Jobseekers benefit claims,1967,,0
Female,25yearsandover,Other registrants,1967,,0
Female,Allages,All classes,1967,,10023
Female,Allages,Jobseekers allowance applications,1967,,461
Female,Allages,Jobseekers benefit claims,1967,,7238
Female,Allages,Other registrants,1967,,2324
Both,Under25years,All classes,1967,,0
Both,Under25years,Jobseekers allowance applications,1967,,0
Both,Under25years,Jobseekers benefit claims,1967,,0
Both,Under25years,Other registrants,1967,,0
Both,25yearsandover,All classes,1967,,0
Both,25yearsandover,Jobseekers allowance applications,1967,,0
Both,25yearsandover,Jobseekers benefit claims,1967,,0
Both,25yearsandover,Other registrants,1967,,0
Both,Allages,All classes,1967,,57939
Both,Allages,Jobseekers allowance applications,1967,,18748
Both,Allages,Jobseekers benefit claims,1967,,35902
Both,Allages,Other registrants,1967,,3289
Male,Under25years,All classes,1967,,0
Male,Under25years,Jobseekers allowance applications,1967,,0
Male,Under25years,Jobseekers benefit claims,1967,,0
Male,Under25years,Other registrants,1967,,0
Male,25yearsandover,All classes,1967,,0
Male,25yearsandover,Jobseekers allowance applications,1967,,0
Male,25yearsandover,Jobseekers benefit claims,1967,,0
Male,25yearsandover,Other registrants,1967,,0
Male,Allages,All classes,1967,,47906
Male,Allages,Jobseekers allowance applications,1967,,18244
Male,Allages,Jobseekers benefit claims,1967,,28655
Male,Allages,Other registrants,1967,,1007
Female,Under25years,All classes,1967,,0
Female,Under25years,Jobseekers allowance applications,1967,,0
Female,Under25years,Jobseekers benefit claims,1967,,0
Female,Under25years,Other registrants,1967,,0
Female,25yearsandover,All classes,1967,,0
Female,25yearsandover,Jobseekers allowance applications,1967,,0
Female,25yearsandover,Jobseekers benefit claims,1967,,0
Female,25yearsandover,Other registrants,1967,,0
Female,Allages,All classes,1967,,10033
Female,Allages,Jobseekers allowance applications,1967,,504
Female,Allages,Jobseekers benefit claims,1967,,7247
Female,Allages,Other registrants,1967,,2282
Both,Under25years,All classes,1967,,0
Both,Under25years,Jobseekers allowance applications,1967,,0
Both,Under25years,Jobseekers benefit claims,1967,,0
Both,Under25years,Other registrants,1967,,0
Both,25yearsandover,All classes,1967,,0
Both,25yearsandover,Jobseekers allowance applications,1967,,0
Both,25yearsandover,Jobseekers benefit claims,1967,,0
Both,25yearsandover,Other registrants,1967,,0
Both,Allages,All classes,1967,,56880
Both,Allages,Jobseekers allowance applications,1967,,19263
Both,Allages,Jobseekers benefit claims,1967,,34171
Both,Allages,Other registrants,1967,,3446
Male,Under25years,All classes,1967,,0
Male,Under25years,Jobseekers allowance applications,1967,,0
Male,Under25years,Jobseekers benefit claims,1967,,0
Male,Under25years,Other registrants,1967,,0
Male,25yearsandover,All classes,1967,,0
Male,25yearsandover,Jobseekers allowance applications,1967,,0
Male,25yearsandover,Jobseekers benefit claims,1967,,0
Male,25yearsandover,Other registrants,1967,,0
Male,Allages,All classes,1967,,46397
Male,Allages,Jobseekers allowance applications,1967,,18747
Male,Allages,Jobseekers benefit claims,1967,,26543
Male,Allages,Other registrants,1967,,1107
Female,Under25years,All classes,1967,,0
Female,Under25years,Jobseekers allowance applications,1967,,0
Female,Under25years,Jobseekers benefit claims,1967,,0
Female,Under25years,Other registrants,1967,,0
Female,25yearsandover,All classes,1967,,0
Female,25yearsandover,Jobseekers allowance applications,1967,,0
Female,25yearsandover,Jobseekers benefit claims,1967,,0
Female,25yearsandover,Other registrants,1967,,0
Female,Allages,All classes,1967,,10483
Female,Allages,Jobseekers allowance applications,1967,,516
Female,Allages,Jobseekers benefit claims,1967,,7628
Female,Allages,Other registrants,1967,,2339
Both,Under25years,All classes,1967,,0
Both,Under25years,Jobseekers allowance applications,1967,,0
Both,Under25years,Jobseekers benefit claims,1967,,0
Both,Under25years,Other registrants,1967,,0
Both,25yearsandover,All classes,1967,,0
Both,25yearsandover,Jobseekers allowance applications,1967,,0
Both,25yearsandover,Jobseekers benefit claims,1967,,0
Both,25yearsandover,Other registrants,1967,,0
Both,Allages,All classes,1967,,51373
Both,Allages,Jobseekers allowance applications,1967,,19486
Both,Allages,Jobseekers benefit claims,1967,,28185
Both,Allages,Other registrants,1967,,3702
Male,Under25years,All classes,1967,,0
Male,Under25years,Jobseekers allowance applications,1967,,0
Male,Under25years,Jobseekers benefit claims,1967,,0
Male,Under25years,Other registrants,1967,,0
Male,25yearsandover,All classes,1967,,0
Male,25yearsandover,Jobseekers allowance applications,1967,,0
Male,25yearsandover,Jobseekers benefit claims,1967,,0
Male,25yearsandover,Other registrants,1967,,0
Male,Allages,All classes,1967,,41912
Male,Allages,Jobseekers allowance applications,1967,,18958
Male,Allages,Jobseekers benefit claims,1967,,21813
Male,Allages,Other registrants,1967,,1141
Female,Under25years,All classes,1967,,0
Female,Under25years,Jobseekers allowance applications,1967,,0
Female,Under25years,Jobseekers benefit claims,1967,,0
Female,Under25years,Other registrants,1967,,0
Female,25yearsandover,All classes,1967,,0
Female,25yearsandover,Jobseekers allowance applications,1967,,0
Female,25yearsandover,Jobseekers benefit claims,1967,,0
Female,25yearsandover,Other registrants,1967,,0
Female,Allages,All classes,1967,,9461
Female,Allages,Jobseekers allowance applications,1967,,528
Female,Allages,Jobseekers benefit claims,1967,,6372
Female,Allages,Other registrants,1967,,2561
Both,Under25years,All classes,1967,,0
Both,Under25years,Jobseekers allowance applications,1967,,0
