"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Both","15 - 24 years","1998","01",56.5
"Both","15 - 74 years","1998","01",154.4
"Both","25 - 74 years","1998","01",97.9
"Male","15 - 24 years","1998","01",32.1
"Male","15 - 74 years","1998","01",88.5
"Male","25 - 74 years","1998","01",56.4
"Female","15 - 24 years","1998","01",24.4
"Female","15 - 74 years","1998","01",66
"Female","25 - 74 years","1998","01",41.6
"Both","15 - 24 years","1998","02",55.5
"Both","15 - 74 years","1998","02",156.1
"Both","25 - 74 years","1998","02",100.6
"Male","15 - 24 years","1998","02",31.6
"Male","15 - 74 years","1998","02",89.5
"Male","25 - 74 years","1998","02",57.9
"Female","15 - 24 years","1998","02",23.9
"Female","15 - 74 years","1998","02",66.6
"Female","25 - 74 years","1998","02",42.7
"Both","15 - 24 years","1998","03",53.1
"Both","15 - 74 years","1998","03",152.1
"Both","25 - 74 years","1998","03",99
"Male","15 - 24 years","1998","03",30.1
"Male","15 - 74 years","1998","03",87.2
"Male","25 - 74 years","1998","03",57.1
"Female","15 - 24 years","1998","03",23
"Female","15 - 74 years","1998","03",64.9
"Female","25 - 74 years","1998","03",42
"Both","15 - 24 years","1998","04",49
"Both","15 - 74 years","1998","04",142.3
"Both","25 - 74 years","1998","04",93.3
"Male","15 - 24 years","1998","04",27.5
"Male","15 - 74 years","1998","04",81.8
"Male","25 - 74 years","1998","04",54.4
"Female","15 - 24 years","1998","04",21.5
"Female","15 - 74 years","1998","04",60.4
"Female","25 - 74 years","1998","04",38.9
"Both","15 - 24 years","1998","05",46.2
"Both","15 - 74 years","1998","05",135.6
"Both","25 - 74 years","1998","05",89.5
"Male","15 - 24 years","1998","05",26
"Male","15 - 74 years","1998","05",78.7
"Male","25 - 74 years","1998","05",52.7
"Female","15 - 24 years","1998","05",20.2
"Female","15 - 74 years","1998","05",57
"Female","25 - 74 years","1998","05",36.8
"Both","15 - 24 years","1998","06",44.7
"Both","15 - 74 years","1998","06",131.1
"Both","25 - 74 years","1998","06",86.5
"Male","15 - 24 years","1998","06",25.6
"Male","15 - 74 years","1998","06",76.9
"Male","25 - 74 years","1998","06",51.3
"Female","15 - 24 years","1998","06",19.1
"Female","15 - 74 years","1998","06",54.3
"Female","25 - 74 years","1998","06",35.2
"Both","15 - 24 years","1998","07",43.3
"Both","15 - 74 years","1998","07",129.6
"Both","25 - 74 years","1998","07",86.3
"Male","15 - 24 years","1998","07",25
"Male","15 - 74 years","1998","07",76.2
"Male","25 - 74 years","1998","07",51.2
"Female","15 - 24 years","1998","07",18.3
"Female","15 - 74 years","1998","07",53.4
"Female","25 - 74 years","1998","07",35.1
"Both","15 - 24 years","1998","08",42.6
