"Age","Ballyfermot","Tallaght","North.Dublin","Limerick","Roscrea","West","Cork","Tralee","South.East","Collins.Ave","Lucan","Kerry","Finglas","Pieta.House","Wexford","Galway.City","North.West","Midlands","Date"
"18-24",178,65,0,148,0,0,0,0,0,0,387,0,84,0,0,0,0,0,2013
"25-44",257,81,0,240,0,0,0,0,0,0,553,0,87,0,0,0,0,0,2013
"45-64",113,39,0,119,0,0,0,0,0,0,262,0,43,0,0,0,0,0,2013
"65+",8,4,0,11,0,0,0,0,0,0,22,0,9,0,0,0,0,0,2013
"U18",160,81,0,137,0,0,0,0,0,0,507,0,102,0,0,0,0,0,2013
"18-24",192,126,0,109,41,46,122,0,0,0,388,25,103,0,0,0,0,0,2014
"25-44",239,175,0,168,81,127,156,0,0,0,540,21,166,0,0,0,0,0,2014
"45-64",102,67,0,125,52,52,85,0,0,0,209,17,69,0,0,0,0,0,2014
"65+",10,3,0,6,6,8,4,0,0,0,19,4,2,0,0,0,0,0,2014
"U18",193,202,0,99,38,41,168,0,0,0,573,34,188,0,0,0,0,0,2014
"18-24",143,149,148,156,40,52,199,35,0,0,377,4,0,0,0,0,0,0,2015
"25-44",201,206,167,198,52,101,236,61,0,0,490,9,0,0,0,0,0,0,2015
"45-64",76,74,69,59,32,65,113,37,0,0,223,1,0,0,0,0,0,0,2015
"65+",6,6,5,7,4,4,6,10,0,0,20,1,0,0,0,0,0,0,2015
"U18",147,291,195,76,33,52,218,42,0,0,546,3,0,0,0,0,0,0,2015
"18-24",125,162,199,121,55,74,234,61,17,0,380,0,0,0,0,0,0,0,2016
"25-44",160,232,222,198,26,124,279,87,26,1,462,0,0,0,0,0,0,0,2016
"45-64",71,88,69,87,30,53,129,62,20,0,167,0,0,0,0,0,0,0,2016
"65+",13,10,8,5,4,5,11,4,5,0,28,0,0,0,0,0,0,0,2016
"U18",112,220,291,97,39,44,259,82,60,2,445,0,0,0,0,0,0,0,2016
"18-24",140,174,294,154,48,74,353,73,98,10,0,0,0,336,29,2,38,16,2017
"25-44",153,201,291,181,50,100,315,125,86,19,0,0,0,417,31,6,50,12,2017
"45-64",70,62,95,100,36,53,116,61,54,3,0,0,0,171,21,4,25,7,2017
"65+",9,8,3,10,4,8,9,10,6,0,0,0,0,20,2,0,2,0,2017
"U18",141,236,346,130,60,61,350,95,113,13,0,0,0,570,32,14,26,18,2017
