"Age","Date","Location","Suicides"
"18-24",2013,"Ballyfermot",178
"25-44",2013,"Ballyfermot",257
"45-64",2013,"Ballyfermot",113
"65+",2013,"Ballyfermot",8
"U18",2013,"Ballyfermot",160
"18-24",2014,"Ballyfermot",192
"25-44",2014,"Ballyfermot",239
"45-64",2014,"Ballyfermot",102
"65+",2014,"Ballyfermot",10
"U18",2014,"Ballyfermot",193
"18-24",2015,"Ballyfermot",143
"25-44",2015,"Ballyfermot",201
"45-64",2015,"Ballyfermot",76
"65+",2015,"Ballyfermot",6
"U18",2015,"Ballyfermot",147
"18-24",2016,"Ballyfermot",125
"25-44",2016,"Ballyfermot",160
"45-64",2016,"Ballyfermot",71
"65+",2016,"Ballyfermot",13
"U18",2016,"Ballyfermot",112
"18-24",2017,"Ballyfermot",140
"25-44",2017,"Ballyfermot",153
"45-64",2017,"Ballyfermot",70
"65+",2017,"Ballyfermot",9
"U18",2017,"Ballyfermot",141
"18-24",2013,"Tallaght",65
"25-44",2013,"Tallaght",81
"45-64",2013,"Tallaght",39
"65+",2013,"Tallaght",4
"U18",2013,"Tallaght",81
"18-24",2014,"Tallaght",126
"25-44",2014,"Tallaght",175
"45-64",2014,"Tallaght",67
"65+",2014,"Tallaght",3
"U18",2014,"Tallaght",202
"18-24",2015,"Tallaght",149
"25-44",2015,"Tallaght",206
"45-64",2015,"Tallaght",74
"65+",2015,"Tallaght",6
"U18",2015,"Tallaght",291
"18-24",2016,"Tallaght",162
"25-44",2016,"Tallaght",232
"45-64",2016,"Tallaght",88
"65+",2016,"Tallaght",10
"U18",2016,"Tallaght",220
"18-24",2017,"Tallaght",174
"25-44",2017,"Tallaght",201
"45-64",2017,"Tallaght",62
"65+",2017,"Tallaght",8
"U18",2017,"Tallaght",236
"18-24",2013,"North.Dublin",0
"25-44",2013,"North.Dublin",0
"45-64",2013,"North.Dublin",0
"65+",2013,"North.Dublin",0
"U18",2013,"North.Dublin",0
"18-24",2014,"North.Dublin",0
"25-44",2014,"North.Dublin",0
"45-64",2014,"North.Dublin",0
"65+",2014,"North.Dublin",0
"U18",2014,"North.Dublin",0
"18-24",2015,"North.Dublin",148
"25-44",2015,"North.Dublin",167
"45-64",2015,"North.Dublin",69
"65+",2015,"North.Dublin",5
"U18",2015,"North.Dublin",195
"18-24",2016,"North.Dublin",199
"25-44",2016,"North.Dublin",222
"45-64",2016,"North.Dublin",69
"65+",2016,"North.Dublin",8
"U18",2016,"North.Dublin",291
"18-24",2017,"North.Dublin",294
"25-44",2017,"North.Dublin",291
"45-64",2017,"North.Dublin",95
"65+",2017,"North.Dublin",3
"U18",2017,"North.Dublin",346
"18-24",2013,"Limerick",148
"25-44",2013,"Limerick",240
"45-64",2013,"Limerick",119
"65+",2013,"Limerick",11
"U18",2013,"Limerick",137
"18-24",2014,"Limerick",109
"25-44",2014,"Limerick",168
"45-64",2014,"Limerick",125
"65+",2014,"Limerick",6
"U18",2014,"Limerick",99
"18-24",2015,"Limerick",156
"25-44",2015,"Limerick",198
"45-64",2015,"Limerick",59
"65+",2015,"Limerick",7
"U18",2015,"Limerick",76
"18-24",2016,"Limerick",121
"25-44",2016,"Limerick",198
"45-64",2016,"Limerick",87
"65+",2016,"Limerick",5
"U18",2016,"Limerick",97
"18-24",2017,"Limerick",154
"25-44",2017,"Limerick",181
"45-64",2017,"Limerick",100
"65+",2017,"Limerick",10
"U18",2017,"Limerick",130
"18-24",2013,"Roscrea",0
"25-44",2013,"Roscrea",0
"45-64",2013,"Roscrea",0
"65+",2013,"Roscrea",0
"U18",2013,"Roscrea",0
"18-24",2014,"Roscrea",41
"25-44",2014,"Roscrea",81
"45-64",2014,"Roscrea",52
"65+",2014,"Roscrea",6
"U18",2014,"Roscrea",38
