"Cause","Ballyfermot","Tallaght","North.Dublin","Limerick","Roscrea","West","Cork","Tralee","South.East","Collins.Ave","Lucan","Kerry","Finglas","Pieta.House","Wexford","Galway.City","North.West","Midlands","Date"
"DNAA",109,56,0,154,12,0,0,0,0,0,407,0,62,0,0,0,0,0,2013
"DSH ",43,19,0,32,3,0,0,0,0,0,120,0,33,0,0,0,0,0,2013
"SA Only",14,4,0,13,3,0,0,0,0,0,25,0,8,0,0,0,0,0,2013
"SA/DSH",5,4,0,9,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2013
"SI Only",236,57,0,146,27,0,0,0,0,0,495,0,88,0,0,0,0,0,2013
"SI/DSH",71,27,0,89,11,0,0,0,0,0,223,0,55,0,0,0,0,0,2013
"SI/SA",159,65,0,123,25,0,0,0,0,0,307,0,51,0,0,0,0,0,2013
"SI/SA/DSH",79,38,0,89,20,0,0,0,0,0,150,0,27,0,0,0,0,0,2013
"DNAA",141,86,0,150,40,57,115,0,0,0,457,15,166,0,0,0,0,0,2014
"DSH ",35,42,0,24,10,11,30,0,0,0,105,5,57,0,0,0,0,0,2014
"SA Only",7,5,0,12,7,3,7,0,0,0,9,2,2,0,0,0,0,0,2014
"SA/DSH",5,5,0,3,1,1,3,0,0,0,9,1,1,0,0,0,0,0,2014
"SI Only",212,145,0,133,58,93,126,0,0,0,470,32,145,0,0,0,0,0,2014
"SI/DSH",87,80,0,64,18,26,75,0,0,0,237,17,64,0,0,0,0,0,2014
"SI/SA",144,122,0,74,49,46,96,0,0,0,280,20,70,0,0,0,0,0,2014
"SI/SA/DSH",105,88,0,47,35,37,83,0,0,0,162,9,23,0,0,0,0,0,2014
"DNAA",14,147,137,105,39,62,148,26,0,0,79,2,0,0,0,0,0,0,2015
"DSH",42,44,53,23,6,15,38,15,0,0,89,0,0,0,0,0,0,0,2015
"SA Only",4,7,0,14,5,4,9,4,0,0,6,1,0,0,0,0,0,0,2015
"SA/DSH",8,2,1,7,2,2,7,2,0,0,3,1,0,0,0,0,0,0,2015
"SI Only",185,165,189,152,50,94,204,64,0,0,686,8,0,0,0,0,0,0,2015
"SI/DSH",92,124,68,62,14,31,119,32,0,0,313,4,0,0,0,0,0,0,2015
"SI/SA",146,136,78,75,31,43,149,24,0,0,286,1,0,0,0,0,0,0,2015
"SI/SA/DSH",82,101,58,58,14,23,98,18,0,0,194,1,0,0,0,0,0,0,2015
"DNAA",13,103,36,100,32,64,181,62,19,3,39,0,0,0,0,0,0,0,2016
"DSH",27,31,82,21,5,4,34,8,9,0,50,0,0,0,0,0,0,0,2016
"SA Only",5,3,3,6,2,9,7,4,2,0,7,0,0,0,0,0,0,0,2016
"SA/DSH",3,0,1,4,0,1,1,4,3,0,3,0,0,0,0,0,0,0,2016
"SI Only",141,218,313,156,50,111,272,94,31,0,692,0,0,0,0,0,0,0,2016
"SI/DSH",65,142,150,62,20,33,132,59,24,0,291,0,0,0,0,0,0,0,2016
"SI/SA",137,123,128,80,28,63,213,29,26,0,239,0,0,0,0,0,0,0,2016
"SI/SA/DSH",90,92,76,79,17,15,113,36,14,0,161,0,0,0,0,0,0,0,2016
"DNAA",7,44,31,16,22,16,63,22,19,3,0,0,0,42,14,0,23,7,2017
"DSH",35,25,93,23,7,12,44,16,19,0,0,0,0,62,6,0,7,6,2017
"SA Only",3,4,3,4,3,2,12,9,4,0,0,0,0,5,0,1,3,1,2017
"SA/DSH",3,2,3,2,0,2,8,1,2,1,0,0,0,3,2,0,0,0,2017
"SI Only",182,209,467,188,64,123,492,135,119,19,0,0,0,709,32,11,52,6,2017
"SI/DSH",82,150,214,93,40,36,192,68,47,6,0,0,0,290,17,5,29,9,2017
"SI/SA",116,120,137,129,28,71,210,47,74,11,0,0,0,257,19,4,19,9,2017
"SI/SA/DSH",85,127,81,120,34,34,122,66,73,5,0,0,0,146,25,5,8,15,2017
