"Location","U18","18-24","25-44","45-64","65+"
"Ballyfermot",753,778,1010,432,46
"Collins.Ave",15,10,20,3,0
"Cork",995,908,986,443,30
"Finglas",290,187,253,112,11
"Galway.City",14,2,6,4,0
"Kerry",37,29,30,18,5
"Limerick",539,688,985,490,39
"Lucan",2071,1532,2045,861,89
"Midlands",18,16,12,7,0
"North.Dublin",832,641,680,233,16
"North.West",26,38,50,25,2
"Pieta.House",570,336,417,171,20
"Roscrea",170,184,209,150,18
"South.East",173,115,112,74,11
"Tallaght",1030,676,895,330,31
"Tralee",219,169,273,160,24
"West",198,246,452,223,25
"Wexford",32,29,31,21,2
